Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
3,3,seulement,only
4,4,police,police
7,7,demande,request
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
14,14,aucun,no
15,15,laisse,leash
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,type,type
39,39,leurs,their
40,40,train,train
41,41,corps,body
42,42,endroit,place
43,43,yeux,eyes
44,44,façon,way
46,46,dont,whose
47,47,trouve,find
49,49,main,hand
51,51,côté,side
52,52,pouvoir,power
53,53,vieux,old
54,54,sois,be
55,55,tiens,here
56,56,matin,morning
57,57,tellement,so much
58,58,enfant,child
59,59,point,point
60,60,venu,came
61,61,suite,after
62,62,venez,come
63,63,devant,in front of
65,65,minutes,minutes
66,66,demandé,request
67,67,chambre,bedroom
68,68,mis,placed
69,70,droit,law
70,71,aimerais,would like to
73,74,cause,cause
74,75,enfin,finally
75,76,espère,hope
76,77,eau,water
77,78,attendez,Wait
78,79,parti,left
79,80,boulot,job
80,81,arrêter,Stop
84,85,fin,end
85,86,croire,believe
86,87,chérie,sweetheart
87,88,gros,large
88,89,plutôt,rather
89,90,aura,will have
90,91,filles,girls
91,92,jouer,to play
92,93,bureau,office
